Paper Title,Year,Venue,Research Trend Category,Input Method,Modeling/Algorithm,Application,Link
Adaptive impedance controller for human-robot arbitration based on cooperative differential game theory,2022,ICRA,improving input quality,Kinesthetic Control,Templates; Compliance Control,HRC,
Generalized affordance templates for mobile manipulation,2022,ICRA,minimizing input,GUI,Templates; Planning,Space Robotics,https://ieeexplore.ieee.org/abstract/document/9812082
Excitation trajectory optimization for dynamic parameter identification using virtual constraints in hands-on robotic system,2024,ICRA,minimizing input,Kinesthetic Control,Compliance Control; Optimization,Medical Robotics,https://arxiv.org/abs/2401.16566
Learning state conditioned linear mappings for low-dimensional control of robotic manipulators,2023,ICRA,minimizing input,Direct Control Interfaces,Input Blending; Supervisory; Classical ML,General Manipulation,https://ieeexplore.ieee.org/abstract/document/10160585
Wearable haptics for a marionette-inspired teleoperation of highly redundant robotic systems,2024,ICRA,improving input quality,Gesture/Hand Tracking,Compliance Control; Virtual Fixtures; Input Mapping,Space Robotics,https://ieeexplore.ieee.org/abstract/document/10610788
A probabilistic approach to multi-modal adaptive virtual fixtures,2024,RA-L,improving input quality,Haptic,Virtual Fixtures,General Manipulation; Space Robotics,https://publications.idiap.ch/attachments/papers/2024/Muhlbauer_RAL_2024.pdf
Design and control of fully handheld microsurgical robot for active tremor cancellation,2021,ICRA,improving input quality,Kinesthetic Control,Filtering,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/9561200
A data-driven reinforcement learning solution framework for optimal and adaptive personalization of a hip exoskeleton,2021,ICRA,improving input quality,Kinesthetic Control,Reinforcement Learning,Assistive Robotics,https://arxiv.org/abs/2011.06116
Hierarchical intention tracking for robust human-robot collaboration in industrial assembly tasks,2023,ICRA,improving input quality,Kinesthetic Control,Filtering,General Manipulation,https://arxiv.org/pdf/2203.09063
Adaptive Motion Scaling for Robot-Assisted Microsurgery Based on Hybrid Offline Reinforcement Learning and Damping Control,2024,ICRA,improving input quality,Gesture/Hand Tracking,Reinforcement Learning,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/10611009
